Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
05/2025,2991,ACEPREV,1000000000000,ATIVO,"1.811.400.315,75",DV,"180.865.896,11","170.526.831,48","1.821.739.380,38",DV
05/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"2.070.676,59",DV,"61.209.919,05","63.209.441,58","71.154,06",DV
05/2025,2991,ACEPREV,1010100000000,IMEDIATO,"2.070.676,59",DV,"58.235.662,49","60.235.185,02","71.154,06",DV
05/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"2.974.256,56","2.974.256,56","0,00",DV
05/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.809.284.272,74",DV,"119.655.977,06","107.315.376,52","1.821.624.873,28",DV
05/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"110.303,52",DV,"2.738.951,63","2.616.723,34","232.531,81",DV
05/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"71.868,87",DV,"2.738.635,26","2.616.279,79","194.224,34",DV
05/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"71.868,87",DV,"2.738.635,26","2.616.279,79","194.224,34",DV
05/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"10.137,62",DV,"1.137.024,13","1.138.012,69","9.149,06",DV
05/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"36.545,37",DV,"1.528.312,17","1.438.247,87","126.609,67",DV
05/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"25.185,88",DV,"73.298,96","40.019,23","58.465,61",DV
05/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"22.879,05",DV,"0,00","0,00","22.879,05",DV
05/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.555,60",DV,"316,37","443,55","15.428,42",DV
05/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.555,60",DV,"316,37","443,55","15.428,42",DV
05/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.313.199,80",DV,"862.202,36","861.960,94","3.313.441,22",DV
05/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"405.731,09",DV,"388.685,97","375.794,37","418.622,69",DV
05/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"372.348,41",DV,"354.615,63","351.835,25","375.128,79",DV
05/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"301.757,47",DV,"340.756,46","351.835,25","290.678,68",DV
05/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"27.905,51",DV,"6.952,08","0,00","34.857,59",DV
05/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"42.685,43",DV,"6.907,09","0,00","49.592,52",DV
05/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"17.414,11",DV,"19.087,17","8.358,34","28.142,94",DV
05/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"15.968,57",DV,"14.983,17","15.600,78","15.350,96",DV
05/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"15.968,57",DV,"14.983,17","15.600,78","15.350,96",DV
05/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020203000000,PARTICIPAÇÃO NO PGA,"0,00",DV,"41.335,53","41.335,53","0,00",DV
05/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
05/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"326.462,00",DV,"321.718,79","337.263,20","310.917,59",DV
05/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"25.175,89",DV,"110.462,07","107.567,84","28.070,12",DV
05/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"25.175,89",DV,"110.462,07","107.567,84","28.070,12",DV
05/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"1.805.860.769,42",DV,"116.054.823,07","103.836.692,24","1.818.078.900,25",DV
05/2025,2991,ACEPREV,1020301000000,TÍTULOS PÚBLICOS,"1.315.590.501,83",DV,"36.506.846,93","40.994.068,74","1.311.103.280,02",DV
05/2025,2991,ACEPREV,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"1.315.590.501,83",DV,"36.506.846,93","40.994.068,74","1.311.103.280,02",DV
05/2025,2991,ACEPREV,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"1.315.590.501,83",DV,"36.506.846,93","40.994.068,74","1.311.103.280,02",DV
05/2025,2991,ACEPREV,1020301010101,TESOURO IPCA / NTN-B,"1.315.590.501,83",DV,"36.506.846,93","40.994.068,74","1.311.103.280,02",DV
05/2025,2991,ACEPREV,1020301010200,TESOURO SELIC / LETRA FINANCEIRA DO TESOURO - LFT,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020301010300,TESOURO PREFIXADO / LETRA DO TESOURO NACIONAL - LTN,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"100.412.968,36",DV,"19.459.193,01","862.652,76","119.009.508,61",DV
05/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"60.287.009,98",DV,"18.485.488,50","101.856,45","78.670.642,03",DV
05/2025,2991,ACEPREV,1020302010100,LETRA FINANCEIRA - LF,"60.287.009,98",DV,"18.485.488,50","101.856,45","78.670.642,03",DV
05/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020302010300,DEPÓSITO A PRAZO COM GARANTIA ESPECIAL - DPGE,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"50.381.173,02",DV,"973.704,51","760.796,31","50.594.081,22",DV
05/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"36.195.674,01",DV,"839.066,35","618.304,17","36.416.436,19",DV
05/2025,2991,ACEPREV,1020302060300,DEBÊNTURES DE INFRAESTRUTURA LEI N.º 12.431/2011,"12.616.247,66",DV,"11.469,85","4,04","12.627.713,47",DV
05/2025,2991,ACEPREV,1020302060400,DEBÊNTURES DE INFRAESTRUTURA,"1.569.251,35",DV,"123.168,31","142.488,10","1.549.931,56",DV
05/2025,2991,ACEPREV,1020302990000,(-) PERDAS ESTIMADAS - ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
05/2025,2991,ACEPREV,1020302990600,(-) DEBÊNTURES,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
05/2025,2991,ACEPREV,1020303000000,RENDA VARIÁVEL,"2.940,70",DV,"0,00","0,00","2.940,70",DV
05/2025,2991,ACEPREV,1020303010000,AÇÕES ,"150,00",DV,"0,00","0,00","150,00",DV
05/2025,2991,ACEPREV,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"2.790,70",DV,"0,00","0,00","2.790,70",DV
05/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"375.857.600,43",DV,"58.972.928,21","61.064.276,10","373.766.252,54",DV
05/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"127.361.777,99",DV,"51.242.935,26","53.026.227,74","125.578.485,51",DV
05/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"5.318.202,94",DV,"1.247.340,76","2.328.259,03","4.237.284,67",DV
05/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020304030200,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SUBORDINADA,"5.318.202,94",DV,"1.247.340,76","2.328.259,03","4.237.284,67",DV
05/2025,2991,ACEPREV,1020304040000,FUNDO DE AÇÕES,"29.903.056,66",DV,"1.151.151,60","0,00","31.054.208,26",DV
05/2025,2991,ACEPREV,1020304060000,FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - FIP ,"110.058.858,46",DV,"2.867.645,33","5.196.021,57","107.730.482,22",DV
05/2025,2991,ACEPREV,1020304060500,MULTIESTRATÉGIA,"106.941.542,06",DV,"2.867.645,33","5.156.689,18","104.652.498,21",DV
05/2025,2991,ACEPREV,1020304069800,OUTROS FIP,"3.117.316,40",DV,"0,00","39.332,39","3.077.984,01",DV
05/2025,2991,ACEPREV,1020304070000,FUNDO MULTIMERCADO ,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020304080000,FUNDO MULTIMERCADO ESTRUTURADO,"80.379.973,62",DV,"2.433.586,98","271.547,06","82.542.013,54",DV
05/2025,2991,ACEPREV,1020304100000,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ,"12.817.649,21",DV,"30.268,28","25.553,41","12.822.364,08",DV
05/2025,2991,ACEPREV,1020304110000,FUNDO DE INVESTIMENTO NO EXTERIOR,"10.018.081,55",DV,"0,00","216.667,29","9.801.414,26",DV
05/2025,2991,ACEPREV,1020304110300,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR,"10.018.081,55",DV,"0,00","216.667,29","9.801.414,26",DV
05/2025,2991,ACEPREV,1020304110301,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR - EXCLUSIVO,"0,00",DV,"0,00","0,00","0,00",DV
05/2025,2991,ACEPREV,1020304110302,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR - NÃO EXCLUSIVO,"10.018.081,55",DV,"0,00","216.667,29","9.801.414,26",DV
