Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2026,2991,ACEPREV,1000000000000,ATIVO,"1.878.627.605,29",DV,"135.394.537,03","124.699.169,52","1.889.322.972,80",DV
02/2026,2991,ACEPREV,1010000000000,DISPONÍVEL,"53.269,93",DV,"51.343.358,89","51.209.021,06","187.607,76",DV
02/2026,2991,ACEPREV,1010100000000,IMEDIATO,"53.269,93",DV,"47.631.318,23","47.496.980,40","187.607,76",DV
02/2026,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"3.712.040,66","3.712.040,66","0,00",DV
02/2026,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.878.547.089,36",DV,"84.051.178,14","73.488.135,08","1.889.110.132,42",DV
02/2026,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"183.040,44",DV,"3.155.476,26","3.105.454,13","233.062,57",DV
02/2026,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"140.152,31",DV,"3.126.217,99","3.076.747,53","189.622,77",DV
02/2026,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"140.152,31",DV,"3.126.217,99","3.076.747,53","189.622,77",DV
02/2026,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"12.825,67",DV,"1.170.420,91","1.170.808,46","12.438,12",DV
02/2026,2991,ACEPREV,1020101010300,PARTICIPANTES,"61.687,13",DV,"1.881.561,37","1.817.766,62","125.481,88",DV
02/2026,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"60.535,51",DV,"69.131,71","83.068,45","46.598,77",DV
02/2026,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"5.104,00",DV,"5.104,00","5.104,00","5.104,00",DV
02/2026,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"27.243,70",DV,"0,00","0,00","27.243,70",DV
02/2026,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.644,43",DV,"29.258,27","28.706,60","16.196,10",DV
02/2026,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.644,43",DV,"29.258,27","28.706,60","16.196,10",DV
02/2026,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.321.975,55",DV,"1.172.735,34","1.209.724,84","3.284.986,05",DV
02/2026,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"382.793,60",DV,"377.647,55","376.032,32","384.408,83",DV
02/2026,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"354.150,76",DV,"355.673,22","354.150,76","355.673,22",DV
02/2026,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"315.998,32",DV,"341.497,76","354.150,76","303.345,32",DV
