Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
07/2025,2991,ACEPREV,1000000000000,ATIVO,"8.697.402,75",DV,"4.873.025,83","4.736.689,60","8.833.738,98",DV
07/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"17.624,91",DV,"2.678.042,41","2.678.013,64","17.653,68",DV
07/2025,2991,ACEPREV,1010100000000,IMEDIATO,"17.624,91",DV,"1.955.562,27","1.955.533,50","17.653,68",DV
07/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"722.480,14","722.480,14","0,00",DV
07/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"8.638.438,18",DV,"2.194.983,42","2.056.662,58","8.776.759,02",DV
07/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.273.456,16",DV,"820.939,41","792.662,58","3.301.732,99",DV
07/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"388.807,79",DV,"390.970,37","384.778,11","395.000,05",DV
07/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"353.064,92",DV,"352.851,18","353.064,92","352.851,18",DV
07/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"256.306,35",DV,"340.756,46","353.064,92","243.997,89",DV
07/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"39.749,64",DV,"4.746,63","0,00","44.496,27",DV
07/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"57.008,93",DV,"7.348,09","0,00","64.357,02",DV
07/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"19.983,99",DV,"22.244,35","15.954,31","26.274,03",DV
07/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"15.758,88",DV,"15.874,84","15.758,88","15.874,84",DV
07/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"15.758,88",DV,"15.874,84","15.758,88","15.874,84",DV
07/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
07/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"297.358,49",DV,"314.642,40","297.358,49","314.642,40",DV
07/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"31.459,06",DV,"115.326,64","110.525,98","36.259,72",DV
07/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"31.459,06",DV,"115.326,64","110.525,98","36.259,72",DV
07/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"5.364.982,02",DV,"1.374.044,01","1.264.000,00","5.475.026,03",DV
07/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"5.364.982,02",DV,"1.374.044,01","1.264.000,00","5.475.026,03",DV
07/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"5.364.982,02",DV,"1.374.044,01","1.264.000,00","5.475.026,03",DV
07/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1020304070000,FUNDO MULTIMERCADO ,"0,00",DV,"0,00","0,00","0,00",DV
07/2025,2991,ACEPREV,1030000000000,IMOBILIZADO E INTANGÍVEL,"41.339,66",DV,"0,00","2.013,38","39.326,28",DV
