Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2026,2991,ACEPREV,1000000000000,ATIVO,"9.842.529,09",DV,"7.020.009,93","7.573.086,34","9.289.452,68",DV
02/2026,2991,ACEPREV,1010000000000,DISPONÍVEL,"16.253,17",DV,"4.134.004,19","4.128.177,59","22.079,77",DV
02/2026,2991,ACEPREV,1010100000000,IMEDIATO,"16.253,17",DV,"3.350.945,10","3.345.118,50","22.079,77",DV
02/2026,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"783.059,09","783.059,09","0,00",DV
02/2026,2991,ACEPREV,1020000000000,REALIZÁVEL,"9.799.029,92",DV,"2.886.005,74","3.442.895,37","9.242.140,29",DV
02/2026,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.321.975,55",DV,"805.905,87","842.895,37","3.284.986,05",DV
02/2026,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"382.793,60",DV,"377.647,55","376.032,32","384.408,83",DV
02/2026,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"354.150,76",DV,"355.673,22","354.150,76","355.673,22",DV
02/2026,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"315.998,32",DV,"341.497,76","354.150,76","303.345,32",DV
02/2026,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"14.065,67",DV,"6.206,00","0,00","20.271,67",DV
02/2026,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"24.086,77",DV,"7.969,46","0,00","32.056,23",DV
02/2026,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"11.120,55",DV,"4.364,22","4.359,27","11.125,50",DV
02/2026,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"17.522,29",DV,"17.610,11","17.522,29","17.610,11",DV
02/2026,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"17.522,29",DV,"17.610,11","17.522,29","17.610,11",DV
02/2026,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
02/2026,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"351.705,96",DV,"300.272,55","351.705,96","300.272,55",DV
02/2026,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"31.645,17",DV,"127.985,77","115.157,09","44.473,85",DV
02/2026,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"31.645,17",DV,"127.985,77","115.157,09","44.473,85",DV
02/2026,2991,ACEPREV,1020300000000,INVESTIMENTOS,"6.477.054,37",DV,"2.080.099,87","2.600.000,00","5.957.154,24",DV
02/2026,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302060000,DEBÊNTURES,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304000000,COTAS DE CLASSE DE FUNDOS DE INVESTIMENTO,"6.477.054,37",DV,"2.080.099,87","2.600.000,00","5.957.154,24",DV
02/2026,2991,ACEPREV,1020304010000,COTAS DE CLASSE DE FUNDO DE RENDA FIXA,"6.477.054,37",DV,"2.080.099,87","2.600.000,00","5.957.154,24",DV
02/2026,2991,ACEPREV,1020304030000,COTAS DE CLASSE DE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304030100,COTAS DE CLASSE FIDC - PADRONIZADO,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304030101,COTAS DE CLASSES DE FIDC - PADRONIZADO - SUBCLASSE COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304070000,COTAS DE CLASSES DE FUNDO MULTIMERCADO - FIM,"0,00",DV,"0,00","0,00","0,00",DV
