Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
03/2025,2991,ACEPREV,1000000000000,ATIVO,"1.783.373.432,52",DV,"104.847.491,56","87.890.474,10","1.800.330.449,98",DV
03/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"54.618,84",DV,"32.640.051,93","32.639.940,27","54.730,50",DV
03/2025,2991,ACEPREV,1010100000000,IMEDIATO,"54.618,84",DV,"27.773.497,64","27.773.385,98","54.730,50",DV
03/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"4.866.554,29","4.866.554,29","0,00",DV
03/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.783.269.385,54",DV,"72.207.439,63","55.248.485,49","1.800.228.339,68",DV
03/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"115.658,59",DV,"2.594.780,62","2.575.500,63","134.938,58",DV
03/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"77.040,17",DV,"2.593.456,68","2.574.070,83","96.426,02",DV
03/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"77.040,17",DV,"2.593.456,68","2.574.070,83","96.426,02",DV
03/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"14.053,08",DV,"1.121.566,50","1.123.071,18","12.548,40",DV
03/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"19.584,46",DV,"1.399.754,59","1.399.225,62","20.113,43",DV
03/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"43.402,63",DV,"54.670,99","51.774,03","46.299,59",DV
03/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"0,00",DV,"17.464,60","0,00","17.464,60",DV
03/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"22.879,05",DV,"0,00","0,00","22.879,05",DV
03/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.739,37",DV,"1.323,94","1.429,80","15.633,51",DV
03/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.739,37",DV,"1.323,94","1.429,80","15.633,51",DV
03/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.258.889,21",DV,"859.148,52","844.546,39","3.273.491,34",DV
03/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"364.941,33",DV,"380.050,25","360.175,45","384.816,13",DV
03/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"332.545,39",DV,"353.058,55","332.545,39","353.058,55",DV
03/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"285.335,33",DV,"340.756,46","332.545,39","293.546,40",DV
03/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"18.651,03",DV,"5.166,13","0,00","23.817,16",DV
03/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"28.559,03",DV,"7.135,96","0,00","35.694,99",DV
03/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"17.405,49",DV,"11.633,46","12.639,61","16.399,34",DV
03/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"14.990,45",DV,"15.358,24","14.990,45","15.358,24",DV
03/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"14.990,45",DV,"15.358,24","14.990,45","15.358,24",DV
03/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
