ID_DIRIGENTE;Nome Dirigente;CS_GRAU_INSTRUCAO;TIPO_DIRIGENTE;RECONDUCAO;CARGO_REMUNERADO;REPRESENTANTE_PARTICIPANTE;RESPONSAVEL_RECURSOS;RESPONSAVEL_PLANO;TITULAR;PRESIDENTE;PRORROGACAO;DT_INICIO_MANDATO;DT_FIM_MANDATO;IN_ATIVO;NU_MATRICULA_EFPC;CNPJ_PATROC;AETQ;DT_EXTRACAO;SG_EFPC
18606;WARLLEY PINHEIRO ANDRADE;SUPERIOR COMPLETO;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
18616;MARCELO MARQUES LOPES;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
18529;CARLOS AUGUSTO ALVES;SUPERIOR COMPLETO;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
17768;CRISTOVAO DE CAMPOS NETO;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
17821;KEYLA CECILIA HORIKAWA OLIVIERA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
17383;LUCIANA  CAETANO DA SILVA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
17632;MARCIO ARCOVERDE MORAES;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
17672;NILTON REIS BATISTA JUNIOR;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
16593;PATROCLUS QUINTELA DE MEDEIROS;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
20093;CLEUSA MARIA FAUSTINO NASCIMENTO;ENS. MEDIO COMPLETO  ;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
19639;AURINEIA DE ALMEIDA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
19506;PAULO CESAR CARVALHO FERNANDES;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
19557;HELOINA ANGELICA MENESES MACIEL;SUPERIOR COMPLETO;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;1184;;não;09/01/2026;CAPESESP
15351;ROVILSON LIMA FROTA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
15314;ROMULO ROGERIO MOREIRA SANTOS;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
14290;DENIO APARECIDO RAMOS;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
11044;TADEU ANTONIO DE CARVALHO VALVERDE;SUPERIOR COMPLETO;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;1184;;não;09/01/2026;CAPESESP
10913;SIMEI SUSA SPADA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
10938;MARIO PINTO DE OLIVEIRA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
10956;MARCOS MENEZES SANTOS;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
10691;FERNANDO SALUSTIANO DO BOMFIM NETO;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
10782;ALDO CANDIDO COSTA FILHO;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
10031;PAULO JEFERSON FAYET SALLAS;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9919;MANOEL CARDOSO DE OLIVEIRA FILHO;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9426;MARIA DO SOCORRO TOBIAS DA SILVA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9437;MARINALVA BARBOZA DE BARROS;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9438;RUBIO CEZAR DA CRUZ LIMA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9286;PAULO DE TARCIO DE AGUIAR LOPES;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9879;CESAR DUNSTAN FLEURY CURADO;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9889;CARLOS ROBERTO DE OLIVEIRA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9890;SUELI LOPES DE OLIVEIRA;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9703;ABENILDA LEITE DE GUSMAO ALBUQUERQUE;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
9719;LUIZ CARLOS AZEVEDO;;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;566;;não;09/01/2026;GEAP AUTOGESTÃO EM SAÚDE
16312;CASSIMIRO PINHEIRO BORGES;SUPERIOR COMPLETO;CONSELHEIRO DELIBERATIVO;não;não;Participante;não se aplica;não se aplica;não;não;não;1998-07-01 00:00:00.0000000;2001-06-30 00:00:00.0000000;não;1184;;não;09/01/2026;CAPESESP
