NU_MATRICULA_EFPC;SG_EFPC;NM_RAZAO_SOCIAL;ID_SIT_EFPC_PRINC;ID_SIT_EFPC;NU_CNPJ;IN_VALIDADO_CNIS;CS_FUNDAMENTACAO_LEGAL;DT_APROVACAO_EFPC;DT_INICIO_FUNC;DT_ENCERRAMENTO_EFPC;CS_PATROCINIO_PREDOMINANTE;NU_PROCESSO_EFPC;QT_MAX_CONSELHEIRO_DELIB;QT_MAX_CONSELHEIRO_FISCAL;QT_MAX_DIRETORES_EXEC;QT_PATROCINADORES;QT_PLANOS_ATIVOS;QT_PLANOS_AUTOZ;CS_ESCRITORIO;ID_SEQ_MUNI_PREV;ID_SEQ_UF_PREV;TE_SITE;TE_EMAIL;NU_FONE;DT_EXTRACAO
28;ALCANPREV;SOCIEDADE PREVIDENCIARIA ALCAN;ENCERRADA;POR INICIATIVA DA EFPC;605.280.150.001-59;Sim;LC 109;1988-12-31 00:00:00.0000000;1988-12-31 00:00:00.0000000;2005-06-29 00:00:00.0000000;Privada;300000036161985 ;4;;6;;;;ESSP;SAO PAULO;SAO PAULO;;;;06/05/26
481;FRANCISCO CONDE;FUNDACAO FRANCISCO CONDE;ENCERRADA;POR CANCELAMENTO;617.013.220.001-52;Sim;LC 109;1979-09-28 00:00:00.0000000;1979-09-27 00:00:00.0000000;2003-05-26 00:00:00.0000000;Privada;3018461979 ;;;7;;;;ESSP;OSASCO;SAO PAULO;;;;06/05/26
518;FUNGRAPA;FUNDACAO GRAO PARA DE PREVIDENCIA E ASSISTENCIA SOCIAL;ENCERRADA;POR CANCELAMENTO;043.583.620.001-00;Sim;LC 109;1982-06-23 00:00:00.0000000;1982-07-31 00:00:00.0000000;2003-12-03 00:00:00.0000000;Privada;5443 ;6;3;2;;;;ESMG;BELEM;PARA;;;;06/05/26
521;FUNREDE;FUNDACAO REDE DE SEGURIDADE;ENCERRADA;POR CANCELAMENTO;562.700.100.001-00;Sim;LC 109;1986-06-27 00:00:00.0000000;1986-08-18 00:00:00.0000000;2003-12-03 00:00:00.0000000;Privada;36111985 ;12;6;4;;;;ESSP;SAO PAULO;SAO PAULO;;;;06/05/26
583;IBP;INSTITUTO BP;ENCERRADA;POR CANCELAMENTO;300.562.530.001-48;Sim;LC 109;1981-07-22 00:00:00.0000000;1981-07-17 00:00:00.0000000;1977-02-27 00:00:00.0000000;Privada;3018771979 ;;;;;;;ESSP;SAO PAULO;SAO PAULO;;;;06/05/26
638;MANNESMANN;FUNDACAO VALLOUREC;ENCERRADA;POR CANCELAMENTO;172.139.010.001-64;Sim;LC 109;1978-01-20 00:00:00.0000000;1978-01-20 00:00:00.0000000;1997-06-09 00:00:00.0000000;Privada;1240 ;;;;;;;ESMG;BELO HORIZONTE;MINAS GERAIS;;;;06/05/26
641;PENA BRANCA;FUNDACAO PENA BRANCA DE SEGURIDADE SOCIAL;ENCERRADA;POR CANCELAMENTO;913.765.090.001-99;Sim;LC 109;1986-10-29 00:00:00.0000000;1987-01-02 00:00:00.0000000;2000-11-28 00:00:00.0000000;Privada;300000046621986 ;;;;;;;ESSP;SAO PAULO;SAO PAULO;;;;06/05/26
669;PINUSPREV;PINUSPREV SOCIEDADE DE PREVIDENCIA PRIVADA;ENCERRADA;POR CANCELAMENTO;587.248.080.001-00;Sim;LC 109;1987-10-14 00:00:00.0000000;1988-03-01 00:00:00.0000000;2004-11-23 00:00:00.0000000;Privada;55861986 ;;;2;;;;ESSP;SAO PAULO;SAO PAULO;;;;06/05/26
672;POTIPREV;PREVIDENCIA PRIVADA POTIGUAR-POTIPREV;ENCERRADA;POR CANCELAMENTO;126.408.270.001-49;Sim;LC 108/109;1987-03-25 00:00:00.0000000;1987-03-27 00:00:00.0000000;2006-03-13 00:00:00.0000000;Pública Estadual;55791986 ;1;1;1;;;;ESPE;NATAL;RIO GRANDE DO NORTE;;;;06/05/26
816;PREVISERV;PREVISERV SOCIEDADE DE PREVIDENCIA PRIVADA;ENCERRADA;POR INICIATIVA DA EFPC;314.437.160.001-97;Sim;LC 109;1987-10-29 00:00:00.0000000;1988-12-01 00:00:00.0000000;2012-01-24 00:00:00.0000000;Privada;300000058081987 ;;;;;;;ESRJ;RIO DE JANEIRO;RIO DE JANEIRO;;;;06/05/26
847;PREVI-TOKYO;PREVI-TOKYO SOCIEDADE DE PREVIDENCIA PRIVADA;ENCERRADA;POR CANCELAMENTO;544.578.170.001-12;Sim;LC 109;1985-03-08 00:00:00.0000000;1985-04-15 00:00:00.0000000;1996-11-11 00:00:00.0000000;Privada;7442 ;;;;;;;ESSP;SAO PAULO;SAO PAULO;;;;06/05/26
