ID_GESTAO_PLANO;ID_PLANO;NU_MATRICULA_EFPC;DT_INI_GESTAO;IN_ATIVO;IN_EM_TRANSFERENCIA;DT_INI_TRANSFERENCIA;DT_FIM_TRANSF_GESTAO;NU_CNPB;SG_EFPC
3217;2904;1482;2010-11-10 00:00:00.0000000;Sim;Não;;;2010005147;MULTIBRA
3678;3284;1482;2011-05-19 00:00:00.0000000;Sim;Não;;;2011001129;MULTIBRA
195;180;1482;2005-06-03 00:00:00.0000000;Sim;Não;;;1987001419;MULTIBRA
251;216;1482;2007-04-01 00:00:00.0000000;Sim;Não;;;2001002319;MULTIBRA
334;289;1482;2006-08-30 00:00:00.0000000;Sim;Não;;;1987000838;MULTIBRA
336;290;1482;2006-08-30 00:00:00.0000000;Sim;Não;;;2001000383;MULTIBRA
363;317;1482;1998-03-16 00:00:00.0000000;Sim;Não;;;1998001792;MULTIBRA
364;318;1482;1995-07-11 00:00:00.0000000;Sim;Não;;;1995002429;MULTIBRA
365;319;1482;1987-03-20 00:00:00.0000000;Sim;Não;;;1987000692;MULTIBRA
366;320;1482;1999-01-08 00:00:00.0000000;Sim;Não;;;1999000218;MULTIBRA
367;321;1482;2003-11-25 00:00:00.0000000;Sim;Não;;;2003001565;MULTIBRA
368;322;1482;2000-09-26 00:00:00.0000000;Sim;Não;;;2000006647;MULTIBRA
370;324;1482;1997-12-16 00:00:00.0000000;Sim;Não;;;1997004429;MULTIBRA
371;325;1482;1991-10-22 00:00:00.0000000;Sim;Não;;;1991001819;MULTIBRA
372;326;1482;2003-09-16 00:00:00.0000000;Sim;Não;;;2003001247;MULTIBRA
373;327;1482;2003-01-01 00:00:00.0000000;Sim;Não;;;2003000119;MULTIBRA
378;331;1482;1995-07-05 00:00:00.0000000;Sim;Não;;;1995001856;MULTIBRA
380;333;1482;1999-04-02 00:00:00.0000000;Sim;Não;;;1999001419;MULTIBRA
381;334;1482;2003-08-29 00:00:00.0000000;Sim;Não;;;2003001174;MULTIBRA
382;335;1482;1995-01-10 00:00:00.0000000;Sim;Não;;;1995000256;MULTIBRA
383;336;1482;2001-05-18 00:00:00.0000000;Sim;Não;;;2001001665;MULTIBRA
387;339;1482;1989-05-17 00:00:00.0000000;Sim;Não;;;1989001556;MULTIBRA
388;340;1482;1992-09-08 00:00:00.0000000;Sim;Não;;;1992001138;MULTIBRA
389;341;1482;1996-11-26 00:00:00.0000000;Sim;Não;;;1996003811;MULTIBRA
391;343;1482;1999-04-08 00:00:00.0000000;Sim;Não;;;1999001583;MULTIBRA
393;344;1482;2003-09-16 00:00:00.0000000;Sim;Não;;;1998005747;MULTIBRA
394;345;1482;1995-02-08 00:00:00.0000000;Sim;Não;;;1995000418;MULTIBRA
395;346;1482;1996-12-27 00:00:00.0000000;Sim;Não;;;1996004956;MULTIBRA
398;349;1482;1995-03-23 00:00:00.0000000;Sim;Não;;;1995000892;MULTIBRA
399;350;1482;1982-02-16 00:00:00.0000000;Sim;Não;;;1982000211;MULTIBRA
404;354;1482;1979-12-28 00:00:00.0000000;Sim;Não;;;1979004919;MULTIBRA
405;355;1482;1998-02-01 00:00:00.0000000;Sim;Não;;;1998000729;MULTIBRA
406;356;1482;1996-03-15 00:00:00.0000000;Sim;Não;;;1996000756;MULTIBRA
407;357;1482;1992-09-18 00:00:00.0000000;Sim;Não;;;1992001456;MULTIBRA
408;358;1482;2000-04-10 00:00:00.0000000;Sim;Não;;;2000003583;MULTIBRA
410;359;1482;2003-06-03 00:00:00.0000000;Sim;Não;;;1991001347;MULTIBRA
413;361;1482;1997-12-22 00:00:00.0000000;Sim;Não;;;1997004518;MULTIBRA
417;363;1482;2000-09-26 00:00:00.0000000;Sim;Não;;;1993000747;MULTIBRA
418;364;1482;1982-03-16 00:00:00.0000000;Sim;Não;;;1982000465;MULTIBRA
419;365;1482;1996-11-01 00:00:00.0000000;Sim;Não;;;1998004211;MULTIBRA
420;366;1482;1988-08-22 00:00:00.0000000;Sim;Não;;;1988002656;MULTIBRA
422;368;1482;1998-03-16 00:00:00.0000000;Sim;Não;;;1998001547;MULTIBRA
423;369;1482;1991-03-14 00:00:00.0000000;Sim;Não;;;1991001118;MULTIBRA
