ID_PATROCINIO;IN_ATIVO;ID_PLANO;DT_INICIO_PATROCINIO;DT_FIM_PATROCINIO;DT_BASE_RETIRADA;DT_APROVACAO_CONV_ADESAO;DT_INI_VIGENCIA_CONV_ADESAO;DT_FIM_VIGENCIA_CONV_ADESAO;IN_PJ_NACIONAL;NU_CNPJ;NM_RAZAO_SOCIAL;NU_CNPB
36255;Sim;7687;2021-11-16 00:00:00.0000000;;;2021-11-16 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;076.205.8060.001-88;MUNICIPIO DE TOLEDO;2021003019
37296;Sim;7687;2021-12-20 00:00:00.0000000;;;2021-12-20 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;087.613.4770.001-20;MUNICIPIO DE ERECHIM;2021003019
37756;Sim;7687;2022-01-12 00:00:00.0000000;;;2022-01-12 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;004.205.5960.001-17;MUNICIPIO DE SANTA RITA DO TRIVELATO;2021003019
37757;Sim;7687;2022-01-17 00:00:00.0000000;;;2022-01-17 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;007.209.2450.001-72;MUNICIPIO DE IPIRANGA DO NORTE;2021003019
37758;Sim;7687;2022-01-12 00:00:00.0000000;;;2022-01-12 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;000.179.5310.001-93;MUNICIPIO DE VERA;2021003019
37855;Sim;7687;2022-01-20 00:00:00.0000000;;;2022-01-20 00:00:00.0000000;2022-01-20 00:00:00.0000000;;Sim;077.817.0540.001-79;MUNICIPIO DE AMPERE;2021003019
40279;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;003.214.1600.001-21;MUNICIPIO DE VILA BELA DA SANTISSIMA TRINDADE;2021003019
40281;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;045.787.6780.001-02;MUNICIPIO DE VALINHOS;2021003019
40287;Sim;7687;2022-10-19 00:00:00.0000000;;;2022-10-19 00:00:00.0000000;2022-10-19 00:00:00.0000000;;Sim;006.554.8690.001-64;MUNICIPIO DE TERESINA;2021003019
40288;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;076.105.5680.001-39;MUNICIPIO DE QUATRO BARRAS;2021003019
40289;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;028.636.5790.001-00;MUNICIPIO DE SAO GONCALO;2021003019
40290;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;046.523.2390.001-47;MUNICIPIO DE SAO BERNARDO DO CAMPO;2021003019
40291;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;003.370.2510.001-56;MUNICIPIO DE ITIQUIRA;2021003019
40292;Sim;7687;2022-07-01 00:00:00.0000000;;;2022-07-01 00:00:00.0000000;2022-07-01 00:00:00.0000000;;Sim;083.102.7230.001-29;MUNICIPIO DE SALETE;2021003019
40293;Sim;7687;2022-11-04 00:00:00.0000000;;;2022-11-04 00:00:00.0000000;2022-11-04 00:00:00.0000000;;Sim;004.219.6880.001-56;MUNICIPIO DE CONQUISTA D'OESTE;2021003019
40356;Sim;7687;2022-10-19 00:00:00.0000000;;;2022-10-19 00:00:00.0000000;2022-10-19 00:00:00.0000000;;Sim;003.501.5090.001-06;MUNICIPIO DE CAMPO GRANDE;2021003019
40357;Sim;7687;2022-10-19 00:00:00.0000000;;;2022-10-19 00:00:00.0000000;2022-10-19 00:00:00.0000000;;Sim;008.778.3260.001-56;MUNICIPIO DE JOAO PESSOA;2021003019
42718;Sim;7687;2022-11-18 00:00:00.0000000;;;2022-11-18 00:00:00.0000000;2022-11-18 00:00:00.0000000;;Sim;076.970.3830.001-92;MUNICIPIO DE JARDIM OLINDA;2021003019
36636;Sim;7687;2021-11-24 00:00:00.0000000;;;2021-11-24 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;004.312.3690.001-90;ESTADO DO AMAZONAS;2021003019
36638;Sim;7687;2021-11-24 00:00:00.0000000;;;2021-11-24 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;017.754.1360.001-90;MUNICIPIO DE DIAMANTINA;2021003019
36639;Sim;7687;2021-11-24 00:00:00.0000000;;;2021-11-24 00:00:00.0000000;2022-02-03 00:00:00.0000000;;Sim;088.349.2380.001-78;MUNICIPIO DE ENCANTADO;2021003019
39975;Sim;7687;2022-06-14 00:00:00.0000000;;;2022-06-14 00:00:00.0000000;2022-06-14 00:00:00.0000000;;Sim;027.174.0930.001-27;MUNICIPIO DA SERRA;2021003019
39976;Sim;7687;2022-06-14 00:00:00.0000000;;;2022-06-14 00:00:00.0000000;2022-06-14 00:00:00.0000000;;Sim;089.363.6420.001-69;MUNICIPIO DE ENCRUZILHADA DO SUL;2021003019
39977;Sim;7687;2022-06-14 00:00:00.0000000;;;2022-06-14 00:00:00.0000000;2022-06-14 00:00:00.0000000;;Sim;046.634.1010.001-15;MUNICIPIO DE BOTUCATU;2021003019
39978;Sim;7687;2022-06-14 00:00:00.0000000;;;2022-06-14 00:00:00.0000000;2022-06-14 00:00:00.0000000;;Sim;082.765.4880.001-02;MUNICIPIO DE TAIO;2021003019
