ID_PLANO;SG_PLANO;NM_PLANO;NU_CNPB;ID_SIT_PRINCIPAL_PLANO;ID_SIT_PLANO;CS_FUNDAMENTACAO_LEGAL;CS_MODALIDADE_PLANO;DT_APROV_PLANO;DT_AUTORIZ_PLANO;DT_INIC_FUNC_PLANO;DT_FECHA_MASSA_PLANO;DT_ENCER_EXTINCAO_PLANO;IN_PLANO_PREVIDENCIAL;CS_PLANO_PATROC_INSTIT;IN_RISCO_MUTALISTA;IN_CONTRIB_NORMAL_PARTIC;IN_CONTRIB_NORMAL_ASSIST;IN_CONTRIB_NORMAL_PATROC;IN_DESP_ADM_PARTIC;IN_DESP_ADM_ASSIST;IN_DESP_ADM_PATROC;IN_CONTRIB_SERV_PASSADO_PARTIC;IN_CONTRIB_SERV_PASSADO_ASSIST;IN_CONTRIB_SERV_PASSADO_PATROC;IN_INSTITUTO_AUTOPATROCINIO;QT_PATROCINADORES;DT_EXTRACAO;NU_CNPJ
1080;PLANO DE BENEFÍCIOS OWENS;PLANO DE BENEFÍCIOS OWENS ILLINOIS;2006003992;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Variável;;2006-07-05 00:00:00.0000000;2006-11-01 00:00:00.0000000;;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073240001-01
1081;PLANO DE BENEFÍCIOS MINERAÇÃO DESCALVADO;PLANO DE BENEFÍCIOS MINERAÇÃO DESCALVADO;2006003747;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Variável;;2006-07-05 00:00:00.0000000;2006-11-01 00:00:00.0000000;;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073220001-04
1083;PLANO DE BENEFÍCIOS CISPER;PLANO DE BENEFÍCIOS CISPER;2006003811;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Variável;;2006-07-05 00:00:00.0000000;2006-11-01 00:00:00.0000000;;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073230001-59
1055;DETEN CD;PLANO DETEN DE CONTRIBUIÇÃO DEFINIDA;2006002611;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Definida;;2006-04-26 00:00:00.0000000;2006-04-26 00:00:00.0000000;;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073100001-80
1056;FCC CD;PLANO FÁBRICA CARIOCA DE CATALISADORES DE CONTRIBUIÇÃO DEFINIDA;2006002783;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Definida;;2006-04-26 00:00:00.0000000;2006-04-26 00:00:00.0000000;;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073110001-24
1064;PREVISAM II;PLANO DE BENEFÍCIOS PREVISAM II;2006003038;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Definida;;2006-05-10 00:00:00.0000000;2006-08-30 00:00:00.0000000;;;Sim;Patrocinado;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073140001-68
1129;SICOOB MULTI INSTITUÍDO;PLANO DE BENEFÍCIOS PREVIDENCIÁRIOS - SICOOB MULTI INSTITUÍDO;2007002329;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Definida;;2007-09-14 00:00:00.0000000;2008-04-01 00:00:00.0000000;;;Sim;Instituído;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;1;06/05/26;483073690001-78
1131;AVAYA;PLANO DE BENEFÍCIOS AVAYA;2007002256;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Definida;;2007-07-12 00:00:00.0000000;2007-08-21 00:00:00.0000000;;;Sim;Patrocinado;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073680001-23
1132;EMATER CV;PLANO EMATERMG-FLEXCERES;2007002647;ATIVO;EM FUNCIONAMENTO;LC 108/109;Contribuição Variável;;2007-09-10 00:00:00.0000000;2007-11-01 00:00:00.0000000;;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;1;06/05/26;483073720001-91
1137;VALEO;PLANO DE APOSENTADORIA VALEO PREV;2007003211;ATIVO;EM FUNCIONAMENTO;LC 109;Contribuição Definida;;2007-11-05 00:00:00.0000000;2008-03-11 00:00:00.0000000;;;Sim;Patrocinado;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483073790001-03
