DT_COMPETENCIA;NU_MATRICULA_EFPC;SG_EFPC;IN_ESTAT_PLANO_EFPC;ID_PLANO;CNPB;ID_BENEFICIO;NU_BENEFICIO;NM_BENEFICIO;TE_NIVEL;QT_ANTERIOR;QT_ENTRADAS;QT_SAIDAS;QT_ATUAL;DT_EXTRACAO
202205;3928;AVONPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4203;FATL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1261;COMSHELL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1345;ELETRA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;552;FUSESC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;117;BANRISUL/FBSS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1883;PREVIM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3037;LILLYPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4279;QUANTA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4181;CAGEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2155;PREVIPLAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2484;CYAMPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3411;MAIS VIDA PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1136;BANDEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2302;GERDAU;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4813;PREVCOM-BRC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3407;TETRA PAK PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3321;TRAMONTINAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;775;MULTIBRA INSTITUIDOR;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4769;PREVCOM-MG;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1523;FUNCEF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4311;PREVUNISUL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;285;FUNDACAO COPEL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4128;VBPP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1511;FUNCASAL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1081;FAMILIA PREVIDENCIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4248;VISÃO PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1691;PREVCHEVRON;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1256;MC PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1804;PREVICAT;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1314;RUMOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2052;TEXPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2066;ULTRAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4091;PREVIG;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4385;ALBAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1599;ISBRE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2083;VALIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3531;RBS PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4087;PLANEJAR;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;14;AGROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4011;PREVSOMPO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3527;VALUE PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3126;IFM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1078;PREVISCANIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4755;PREVES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4371;CIASPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2191;SEGURIDADE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;59;INFRAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4604;PREVEME II;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3825;MULTIPENSIONS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;299;DERMINAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3174;VEXTY;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1991;PRHOSPER;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1208;CBS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;268;FUNDACAO CORSAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;792;PREVINORTE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2721;PREV PEPSICO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4101;MBPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;758;UNILEVERPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;312;ECONOMUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3945;PFIZER PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1852;PREVI-GM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;686;PORTUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4801;SCPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4039;KPMG PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3839;PREVIHONDA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;504;FUNBEP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4711;MULTICOOP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2213;MAUA PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1715;PREVDATA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1746;PREVEME;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1924;PREVI-SIEMENS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1359;PREVI-ERICSSON;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3811;MSD PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4409;OABPREV-GO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4594;PREVIDEXXONMOBIL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1972;PROMON;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;165;CABEC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3575;CARBOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1821;FUTURA PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4042;VOITH PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4786;PREVNORDESTE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1969;PREVUNIAO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2231;FUNDAÇÃO LIBERTAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;211;CELOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;401;FASC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1732;PREVBEP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2561;FUNEPP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1105;BRASLIGHT;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1541;GASIUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;953;SILIUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3647;FUND. BRASILSAT;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3006;UNIPREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2909;GEBSA-PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4649;TOYOTA PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1585;SYNGENTA PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4844;DF-PREVICOM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4738;RJPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1911;PREVISC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2556;METRUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;326;ELETROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4621;SUL PREVIDÊNCIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;223;CENTRUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1568;GOODYEAR;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
